Date,Close/Last,Volume,Open,High,Low
01/29/2015,201.9902,173293000,200.38,202.3,198.68
01/28/2015,200.14,167681700,204.17,204.29,199.91
01/27/2015,202.74,133590500,202.97,204.12,201.74
01/26/2015,205.45,91684840,204.71,205.56,203.85
01/23/2015,204.97,117356900,205.79,206.1,204.81
01/22/2015,206.1,173536400,203.99,206.26,202.33
01/21/2015,203.08,122729500,201.5,203.66,200.94
01/20/2015,202.055,130756800,202.4,202.72,200.17
01/16/2015,201.63,211677200,198.77,201.82,198.55
01/15/2015,199.0199,175383200,201.63,202.01,198.88
01/14/2015,200.86,192551700,199.65,201.1,198.57
01/13/2015,202.08,214341100,204.12,205.48,200.51
01/12/15,202.65,144043100,204.41,204.6,201.92
01/09/15,204.25,157293400,206.4,206.42,203.51
01/08/15,205.9,146039400,204.01,206.16,203.99
01/07/15,202.31,125069700,201.42,202.72,200.88
01/06/15,199.82,208922400,202.09,202.72,198.855
01/05/15,201.72,169139200,204.17,204.37,201.35
01/02/15,205.43,121394000,206.38,206.88,204.18
12/31/2014,205.54,130284300,207.99,208.19,205.39
12/30/2014,207.6,73448190,208.21,208.37,207.51
12/29/2014,208.72,79514380,208.22,208.97,208.14
12/26/2014,208.44,57204150,208.31,208.85,208.25
12/24/2014,207.77,42963400,208.02,208.34,207.72
12/23/2014,207.75,120516200,208.17,208.23,207.3991
12/22/2014,207.47,147884900,206.75,207.47,206.46
12/19/2014,206.52,242836400,206.43,207.33,205.6109
12/18/2014,206.78,256909600,204.74,212.97,203.92
12/17/2014,201.79,252458700,198.44,202.34,198.29
12/16/2014,197.91,258867900,198.58,202.395,197.86
12/15/2014,199.51,188920400,201.98,202.53,198.78
12/12/14,200.89,201983200,202.64,203.819,200.85
12/11/14,204.19,158542800,203.88,206.19,203.71
12/10/14,203.1601,159140400,205.91,205.98,202.93
12/09/14,206.47,125033900,204.37,206.6,203.91
12/08/14,206.61,108460400,207.52,208.12,205.93
12/05/14,208,90978050,207.87,208.47,207.55
12/04/14,207.66,91222700,207.54,208.265,206.7
12/03/14,207.89,68869870,207.3,208.15,207.1
12/02/14,207.085,74435510,205.81,207.34,205.782
12/01/14,205.76,103711100,206.4,206.54,205.38
11/28/2014,207.2,57890090,207.49,207.87,206.91
11/26/2014,207.64,61927210,207.29,207.76,207.03
11/25/2014,207.11,79013710,207.54,207.79,206.8
11/24/2014,207.26,65635340,207.17,207.39,206.91
11/21/2014,206.68,142105400,207.64,207.8445,205.98
11/20/2014,205.58,72498660,204.26,205.71,204.18
11/19/2014,205.22,82226470,205.31,205.55,204.3
11/18/2014,205.55,75858730,204.44,205.92,204.44
